timestamp,window,cpu,ram
1753256323.7021182,Streamlit - Google Chrome,0.0,63.9
1753256328.7207246,Streamlit - Google Chrome,12.6,63.8
1753256333.7409842,Streamlit - Google Chrome,11.0,63.7
1753256338.7589746,Streamlit - Google Chrome,11.8,63.5
1753256343.767461,Streamlit - Google Chrome,13.6,63.4
1753256348.773144,SIDEMEN AMONG US CHAMELEON ROLE: BLEND IN TO WIN - YouTube - Google Chrome,22.6,64.6
1753256353.7839541,indeed - Google Search - Google Chrome,32.7,64.3
1753256358.7909882,Job Search India | Indeed - Google Chrome,53.6,65.4
1753256363.7946243,Streamlit - Google Chrome,15.2,65.5
1753256368.802055,"24 Data Science Fresher Jobs and Vacancies in Mumbai, Maharashtra - 23 July 2025 | Indeed - Google Chrome",27.9,65.3
1753256373.8213167,"24 Data Science Fresher Jobs and Vacancies in Mumbai, Maharashtra - 23 July 2025 | Indeed - Google Chrome",44.2,67.0
1753256378.8419738,"900 SEO Job Vacancies in Mumbai, Maharashtra | Indeed - Google Chrome",31.5,66.5
1753256434.0864897,Streamlit - Google Chrome,0.0,65.8
1753256439.0939639,Streamlit - Google Chrome,30.2,66.9
1753256444.103385,requirements.txt - Attention Fatigue Detector - Cursor,58.4,66.6
1753256449.1184092,requirements.txt - Attention Fatigue Detector - Cursor,40.4,65.9
1753256454.1384387,requirements.txt - Attention Fatigue Detector - Cursor,31.1,65.5
1753256459.1528113,requirements.txt - Attention Fatigue Detector - Cursor,28.1,65.9
1753256464.1617994,requirements.txt - Attention Fatigue Detector - Cursor,34.4,66.1
1753256469.178535,requirements.txt - Attention Fatigue Detector - Cursor,46.4,66.0
1753256474.1968424,Streamlit - Google Chrome,32.6,66.3
1753256479.2154858,requirements.txt - Attention Fatigue Detector - Cursor,45.4,66.3
1753256484.2298594,requirements.txt - Attention Fatigue Detector - Cursor,13.8,66.2
1753256489.2424033,requirements.txt - Attention Fatigue Detector - Cursor,10.9,66.2
